Laptop_ID,Brand,Model,Processor,RAM_GB,Storage_Type,Storage_GB,GPU,Screen_Size,Operating_System,Weight_KG,Battery_Hours,Warranty_Months,Customer_Segment,Region,Price
LAP0001,Dell,Latitude 14,Intel i3,16,SSD,512,Integrated,13.3,Windows 11,1.29,9.2,12,Student,East,51312.26
LAP0002,Dell,Latitude 14,Intel i3,16,HDD,1024,Integrated,14.0,Linux,1.28,6.0,24,Gaming,South,48454.86
LAP0003,Dell,Vostro 15,AMD Ryzen 3,16,SSD,512,AMD Radeon,16.0,Windows 11,1.99,9.1,6,Professional,East,55991.65
LAP0004,Dell,Inspiron 15,AMD Ryzen 3,8,SSD,512,NVIDIA GTX,15.6,Linux,1.7,8.3,24,Professional,South,53930.68
LAP0005,Dell,Latitude 14,Intel i7,16,SSD,1024,Integrated,14.0,Windows 11,1.43,7.3,24,Professional,South,76023.36
LAP0006,Dell,Inspiron 15,Intel i3,8,SSD,1024,Integrated,13.3,Linux,1.12,11.9,24,Business,West,46023.43
LAP0007,Dell,Vostro 15,Intel i7,16,SSD,512,NVIDIA GTX,14.0,Windows 11,1.17,10.0,6,Business,North,86183.51
LAP0008,Dell,Inspiron 15,Intel i5,8,SSD,512,Integrated,16.0,Linux,1.59,8.5,24,Gaming,South,50530.51
LAP0009,Dell,Latitude 14,AMD Ryzen 7,16,SSD,512,NVIDIA GTX,16.0,Windows 11,2.13,10.3,12,Professional,North,71964.42
LAP0010,Dell,Vostro 15,AMD Ryzen 5,16,SSD,512,NVIDIA RTX,13.3,Windows 11,1.46,7.0,12,Student,West,81518.57
LAP0011,Dell,Vostro 15,Intel i5,16,HDD,256,NVIDIA GTX,15.6,Windows 11,1.88,8.2,6,Business,East,48991.67
LAP0012,Dell,Vostro 15,AMD Ryzen 7,32,HDD,1024,NVIDIA GTX,16.0,Windows 11,1.5,7.8,12,Gaming,East,82981.27
LAP0013,Dell,Vostro 15,Intel i7,32,SSD,512,NVIDIA RTX,16.0,Windows 11,1.84,8.0,24,Business,East,99165.88
LAP0014,Dell,Vostro 15,AMD Ryzen 5,64,SSD,512,AMD Radeon,17.3,Windows 11,2.45,5.7,24,Professional,East,80467.29
LAP0015,Dell,Vostro 15,Intel i5,16,HDD,512,Integrated,15.6,Windows 11,2.03,10.9,12,Business,East,41314.92
LAP0016,Dell,Latitude 14,Intel i3,8,SSD,512,AMD Radeon,13.3,Windows 11,1.48,11.7,6,Business,North,45546.76
LAP0017,Dell,Vostro 15,Intel i5,32,SSD,512,Integrated,15.6,Windows 11,1.62,9.4,24,Business,North,60519.31
LAP0018,Dell,Vostro 15,AMD Ryzen 7,8,SSD,512,Integrated,16.0,Windows 11,2.16,6.8,24,Business,North,61491.16
LAP0019,Dell,Latitude 14,Intel i3,16,SSD,256,AMD Radeon,13.3,Windows 11,1.27,8.3,12,Student,South,45990.94
LAP0020,Dell,Vostro 15,Intel i3,8,SSD,512,Integrated,14.0,Windows 11,1.32,10.3,24,Student,East,35721.68
LAP0021,Dell,Inspiron 15,Intel i7,8,HDD,512,NVIDIA GTX,15.6,Windows 11,2.12,7.1,12,Professional,East,70672.47
LAP0022,Dell,Vostro 15,Intel i5,16,SSD,512,Integrated,15.6,Windows 11,1.7,9.4,12,Professional,North,53061.06
LAP0023,Dell,Latitude 14,Intel i3,16,SSD,512,Integrated,16.0,Windows 11,1.81,5.6,12,Student,North,46380.93
LAP0024,Dell,Latitude 14,Intel i5,16,HDD,512,Integrated,17.3,Windows 11,2.26,10.1,12,Student,North,42665.68
